feature,importance_mean,importance_std
Watt_per_m2_roll_std_28,0.0011202475281723244,0.0012738988242567252
A865_roll_mean_28,0.0011087987230330222,0.0005745701479862229
Oa16_reflectance_roll_std_7,0.001107397260065035,0.0028880823534825238
Oa18_reflectance_lag_14,0.0010801834572390589,0.0011012901245900809
Oa10_reflectance_roll_mean_28,0.0010738603933918788,0.0005128694823325207
CHL_NN_R3_lag_14,0.0010719852344934111,0.00028465038524513083
water_level_lag_7,0.0010706200670139055,0.0022915912492434327
KD490_M07_roll_std_7,0.0010555130716399575,0.0009695087310940074
total_pixels_roll_mean_7,0.0010461330187137464,0.0009428549971083008
total_pixels_roll_std_28,0.0010442200391084454,0.0007397987047698122
CI_index_lag_14,0.0010429780995554693,0.001464545686735366
CHL_OC4ME_roll_mean_28,0.0009696195117100181,0.004638305830282858
CHL_NN_R2_lag_1,0.0009678352410779744,0.0008382850802753754
T865_lag_14,0.0009456557411878563,0.0005280115536391774
CHL_NN_R3_roll_std_14,0.000940650374836327,0.0003525564813833777
ADG443_NN_roll_max_14,0.0009388256805431539,0.00038750917928710406
Oa05_reflectance,0.0008968568589195591,0.00032235833043910947
Oa01_reflectance_roll_mean_7,0.0008866081357949085,0.00021344777761367667
Oa12_reflectance_roll_std_14,0.0008588716402722519,0.0005168147281691401
temp_min_roll_mean_7,0.0008518417773886178,0.002851496884793397
Oa11_reflectance_roll_min_7,0.0008454134037467753,0.0003319569988981087
total_pixels_lag_1,0.0008082619746790698,0.0004783262522428906
wind_speed_2m_lag_7,0.0008051781123011636,0.002425973040269289
total_pixels_lag_28,0.0007671462415571817,0.0004760641108876629
PAR_lag_1,0.0007631921161459943,0.0006699459489745457
CHLL_NN_TOTAL_roll_std_28,0.0007542360694682948,0.0016441003336317625
Oa11_reflectance_roll_min_28,0.0007165141710021139,0.00014821897398595898
temp_min_lag_1,0.0007107254885278635,0.00031922349257538585
water_temperature_lag_1,0.0006947202464501423,0.0008678002771896163
A865_roll_min_7,0.0006889367834342685,0.0008742496895888699
total_pixels_lag_7,0.0006721137534760225,0.001371752786864901
A865_roll_min_14,0.0006534684193336915,0.000509822657012682
Oa07_reflectance_lag_7,0.0006395645220221624,0.0004585331433222008
Oa08_reflectance_roll_mean_7,0.000635351293892672,0.0014718501448811193
Oa12_reflectance_lag_28,0.0006265387191048966,0.0006389292986889169
CHL_OC4ME_roll_std_14,0.0006037136560153478,0.0002012378853383012
valid_pixels_roll_max_28,0.0006007830026157456,0.0005544976028849431
CHL_NN_R3_lag_28,0.0005996515566150329,0.0005668418807694119
KD490_M07_lag_14,0.0005868022630430402,0.0009103929787269702
Oa12_reflectance,0.0005792491361640729,0.0010182905726515232
Oa01_reflectance_lag_1,0.000573336610874442,0.0003631548311893691
Oa09_reflectance_lag_14,0.0005576167494492524,0.0011256785779563785
KD490_M07_roll_std_14,0.0005512810098064591,0.00017728785940644392
KD490_M07_roll_mean_28,0.0005409866650619044,0.001227140777355408
Oa12_reflectance_roll_mean_7,0.0005371104130992066,0.00045956059131087556
Oa21_reflectance_roll_mean_7,0.0005340293045186684,0.00043023279090343596
CHL_NN_R3_roll_std_28,0.000525649879620449,0.0006437842004948595
CHL_NN_R1_roll_mean_7,0.0005021626148379532,0.0002657006245127557
CHLL_NN_TOTAL_lag_14,0.000494098762321471,0.0009615956885352495
CHL_NN_R1_lag_7,0.0004901946969083859,0.0020078051497032005
precipitation,0.00048378234102859353,0.0015613182192254031
temp_max_lag_14,0.0004779912729332203,0.0005858072650350657
water_level_roll_max_28,0.0004764026683317546,0.002219100808194356
wind_avg_roll_min_14,0.00045624856543096114,0.0033917605867788566
Oa07_reflectance_roll_std_14,0.0004430247855364833,0.001098027537110398
Oa01_reflectance_roll_std_7,0.0004173643103254854,0.000727306697565763
CI_index_roll_std_28,0.0004117073219814138,0.0005850769540784984
Oa01_reflectance_roll_mean_28,0.0004092003976596814,0.00024008465313508272
Oa06_reflectance_lag_28,0.0004090495584486931,0.0006784709066873324
Oa04_reflectance_lag_7,0.0003913471617974729,5.652691384680408e-05
Oa01_reflectance,0.0003752876431907026,0.0002706237681141367
Oa03_reflectance_roll_mean_7,0.0003699131473274164,0.00021744156497614166
Oa07_reflectance_lag_1,0.0003693049177446284,0.0004150881796853764
Oa10_reflectance_roll_max_14,0.00036917566651197833,9.142844886388324e-05
valid_pixels_lag_14,0.00036870389001730786,0.0008926368535162651
air_temperature_roll_mean_14,0.0003280834380074538,0.00025559162198505125
CHL_NN_R2_lag_7,0.00032371703367379824,0.0005398793209221038
Oa10_reflectance_roll_min_7,0.00030891039161344834,0.00038389231603245735
CI_index_lag_1,0.0002984820351367823,0.000329714339926139
Oa16_reflectance,0.00028814224572544235,0.00012048592685641042
T865_lag_1,0.0002830434801915693,0.0009004737380287674
Oa01_reflectance_roll_std_28,0.00028293864640449584,0.00021916333310461627
CI_index_roll_max_14,0.00026843639688634013,0.0001858405824598878
Oa10_reflectance_roll_std_14,0.00026064789382997946,0.00017727602655573155
Oa21_reflectance_lag_1,0.00026039315610066894,0.001783147541725048
Oa08_reflectance,0.0002539661904182644,0.0011356163852565212
Oa16_reflectance_roll_min_28,0.00024812730667367333,0.00018795645191095018
precipitation_lag_1,0.00024178348312737797,0.0005472492342013273
valid_pixels,0.00023797508199825402,0.0008970733042593425
Oa21_reflectance_roll_std_14,0.00023577900680713527,0.0007170694362240965
IWV_lag_7,0.00023206853477706347,0.0021276641679281293
KD490_M07_roll_max_14,0.00022685930471615378,6.905020763327487e-05
IWV_lag_1,0.00021616515904367972,0.0003913418660552042
Oa03_reflectance_roll_std_14,0.00021502528268895204,0.0001541338362847617
CHL_NN_R3_roll_min_28,0.0002141061177927561,0.0018748041611158215
Watt_per_m2_lag_14,0.00020940366656301278,0.0021052256733079693
Oa03_reflectance_lag_7,0.00020798373517401104,0.0003804494370279322
T865_roll_max_14,0.0002060590308787802,0.00021587161731461294
Oa18_reflectance_lag_7,0.00019459691254146704,0.001219399054165139
TSM_NN_roll_max_14,0.0001930462335027805,0.00014017290823867157
TSM_NN_lag_1,0.00018887622403953585,0.0012641015492226198
Oa11_reflectance,0.00018360542622355424,0.00018334172175674075
CHL_NN_R2_roll_mean_28,0.000182088085469978,0.00026543671674975186
temp_max_roll_std_14,0.00018067351232478046,0.00279824296147559
Oa04_reflectance_roll_min_7,0.00017839823541150325,0.0002903792569187896
Oa12_reflectance_roll_std_7,0.0001758293501598729,0.0002153460948484202
Oa04_reflectance_roll_std_14,0.00017208187820578759,0.00011707303040558852
total_pixels_roll_min_28,0.00017120429452299746,0.0009345935650307139
Oa03_reflectance_roll_max_28,0.00016835780986532712,0.0001574843107256836
total_pixels_roll_mean_28,0.0001660766757435539,0.000306230259066767
water_temperature_roll_min_28,0.00016393518972099841,9.722683925175886e-05
Oa11_reflectance_roll_mean_28,0.000154804851664192,0.00010720633732014201
water_level_roll_min_7,0.00015014673261033452,0.002664746648591635
Oa16_reflectance_lag_14,0.00014892994387665225,0.00011307724383454875
A865_roll_mean_7,0.00014852299308190097,0.0006675279985344079
Oa21_reflectance_roll_max_14,0.00014718195076008912,0.00011332033259879324
Oa17_reflectance_roll_mean_7,0.00014660009449958268,0.0001482155713103548
Oa18_reflectance_roll_std_7,0.00013992280634615993,0.0010039399788729962
water_temperature,0.000132348406763505,0.0002448476908080197
day_of_week,0.00012017696577046877,0.0005831654415548615
CHL_NN_R2_roll_min_7,0.00011914430876194259,0.0016336638754775312
PAR_lag_28,0.00011594572006279336,0.0009000498283856503
CHL_NN_R3_lag_7,0.00010969945353940247,0.001121442153925108
precipitation_roll_max_28,0.00010896940012115053,0.00026062156343976815
CHLL_NN_TOTAL_lag_1,9.509766872870529e-05,9.522022599336165e-05
CHL_NN_R1_roll_max_14,8.731646614963395e-05,9.515091301325969e-05
temp_min_roll_max_28,8.702848320023549e-05,5.714860402924877e-05
total_pixels_roll_min_7,8.106879782037169e-05,0.0004785897509180458
Oa12_reflectance_roll_min_28,6.620364125726752e-05,0.0001687868293198066
ADG443_NN_roll_std_28,6.611409096031195e-05,0.00011848866733942769
IWV_roll_std_7,6.358158830552796e-05,0.0005281388462665842
Oa12_reflectance_lag_7,5.129275718589455e-05,3.4454649077468754e-05
A865_lag_14,4.9984646215239795e-05,0.0009841562239356675
Oa06_reflectance_roll_std_28,4.967748862823029e-05,0.00022549934851451167
Oa11_reflectance_lag_1,4.9651236623926565e-05,3.2504364311043876e-05
IWV_lag_14,4.854071301005902e-05,0.0017574452532577924
T865_roll_mean_14,4.694018049491433e-05,0.0001857945869402587
T865_roll_std_7,2.5740991886014086e-05,0.00026192735055550294
Oa08_reflectance_lag_14,2.1933359863890445e-05,6.0085824868935084e-05
air_temperature_roll_mean_28,9.044836279681335e-06,5.6484984460460034e-05
CHL_OC4ME_roll_mean_7,3.1203762780762647e-06,0.00021743257125211404
rho_681_raw,0.0,0.0
rho_665_roll_std_7,0.0,0.0
rho_665_roll_std_14,0.0,0.0
rho_681_lag_1,0.0,0.0
rho_665_roll_mean_14,0.0,0.0
rho_665_roll_max_7,0.0,0.0
rho_665_roll_min_7,0.0,0.0
rho_681_lag_7,0.0,0.0
rho_665_lag_28,0.0,0.0
rho_665_roll_min_14,0.0,0.0
KD490_M07_raw,0.0,0.0
rho_681_is_missing,0.0,0.0
rho_665_roll_max_28,0.0,0.0
KD490_M07_roll_min_28,0.0,0.0
rho_665_roll_max_14,0.0,0.0
rho_665_roll_min_28,0.0,0.0
rho_665_roll_std_28,0.0,0.0
rho_665_roll_mean_28,0.0,0.0
KD490_M07_is_missing,0.0,0.0
rho_665_roll_mean_7,0.0,0.0
temp_min_roll_min_7,0.0,0.0
rho_665_lag_14,0.0,0.0
rho_665_lag_7,0.0,0.0
CHLL_NN_TOTAL_roll_min_28,0.0,0.0
Oa21_reflectance_roll_std_7,0.0,0.0
CHLL_NN_TOTAL_roll_mean_28,0.0,0.0
Oa21_reflectance_roll_max_7,0.0,0.0
Oa21_reflectance_roll_mean_28,0.0,0.0
Oa21_reflectance_roll_min_28,0.0,0.0
PAR_is_missing,0.0,0.0
PAR_raw,0.0,0.0
CHLL_NN_TOTAL_roll_std_14,0.0,0.0
PAR_roll_min_14,0.0,0.0
CHLL_NN_TOTAL_raw,0.0,0.0
PAR_roll_min_28,0.0,0.0
CHLL_NN_TOTAL_is_missing,0.0,0.0
TSM_NN_is_missing,0.0,0.0
TSM_NN_raw,0.0,0.0
AWND_raw,0.0,0.0
TSM_NN_roll_mean_14,0.0,0.0
AWND_is_missing,0.0,0.0
TSM_NN_roll_min_28,0.0,0.0
TSM_NN_roll_max_28,0.0,0.0
coverage_percent_is_missing,0.0,0.0
coverage_percent_raw,0.0,0.0
T865_roll_min_14,0.0,0.0
T865_raw,0.0,0.0
T865_is_missing,0.0,0.0
rho_665_is_missing,0.0,0.0
rho_665_raw,0.0,0.0
KD490_M07_roll_max_28,0.0,0.0
rho_665_lag_1,0.0,0.0
rho_681_lag_14,0.0,0.0
A865_roll_min_28,0.0,0.0
rho_681_lag_28,0.0,0.0
valid_pixels_roll_min_14,0.0,0.0
air_temperature_raw,0.0,0.0
air_temperature_roll_max_14,0.0,0.0
precipitation_raw,0.0,0.0
